HC  ID,Description,Location/Emplacement,Weight/Poids (g),Measurement date/Date de la mesure,Method/Méthode,Counting time/temps de mesure  (h),Cs-137 (Bq/kg),Cs-137 Uncertainty / Incertitude (Bq/kg),Cs-137 MDC(Bq/kg),Cs-134 (Bq/kg),Cs-134 Uncertainty /Incertitude (Bq/kg),Cs-134 MDC (Bq/kg),K-40 (Bq/kg),K-40 Uncertainty / Incertitude (Bq/kg),K-40 MDC (Bq/kg),Po-210 (Bq/Kg),Po-210 Uncertainty /Incertitude (Bq/kg),Po-210 MDC (Bq/kg)
32202,Sockeye,Nass River B.C.,146.6,Nov 09 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.26,0,­,1.23,123.79,18.11,20.4,0,,0.2
32210,Sockeye,Nass River B.C.,162.2,Nov 09 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.06,0,­,1.07,126.66,17.25,18.9,0,,0.2
32211,Sockeye,Nass River B.C.,143.3,Nov 09 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.29,0,­,1.3,129.85,17.98,19,0.5,0.2,0.2
32216,Sockeye,Nass River B.C.,145.9,Nov 10 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.28,0,­,1.23,106.72,18.62,23.4,0.5,0.2,0.2
32217,Sockeye,Nass River B.C.,142,Nov 10 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.34,0,­,1.38,104.48,18.33,22.7,0.5,0.2,0.2
32218,Sockeye,Nass River B.C.,146.3,Nov 10 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.22,0,­,1.23,120.37,18.69,22.1,0.5,0.2,0.2
32219,Sockeye,Nass River B.C.,149.6,Nov 10 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.31,0,­,1.22,142.44,18.4,19,0.7,0.2,0.2
32282,Sockeye,Nass River B.C.,136.2,Nov 16 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.35,0,­,1.29,124.92,20.49,25.2,0,,0.2
32283,Sockeye,Nass River B.C.,149.8,Nov 16 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.19,0,­,1.19,123.75,17.11,18,0.7,0.2,0.2
32284,Sockeye,Nass River B.C.,158.2,Nov 16 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.13,0,­,1.12,127.66,17.95,20.2,0,,0.2
32220,Steelhead,Nass River B.C.,156.7,Nov 11 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.23,0,­,1.21,105.43,15.54,16.7,0.9,0.2,0.2
32221,Steelhead,Nass River B.C.,147.9,Nov 11 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.27,0,­,1.25,111.37,18.21,22.1,0,,0.2
32222,Steelhead,Nass River B.C.,148.8,Nov 11 2015,Gamma Spectroscopy/spectroscopie gamma,6,0.55,0.22,0.75,0,­,1.23,126.96,17.99,19.8,0.9,0.2,0.2
32223,Steelhead,Nass River B.C.,151.4,Nov 12 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.16,0,­,1.27,131.04,16.64,15.7,0.9,0.2,0.2
32224,Steelhead,Nass River B.C.,155,Nov 12 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.14,0,­,1.24,131.09,18.07,19.9,0,,0.2
32225,Steelhead,Nass River B.C.,143.1,Nov 13 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.33,0,­,1.35,119.26,19.7,24.4,0.9,0.2,0.2
32281,Steelhead,Nass River B.C.,151.9,Nov 17 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.27,0,­,1.26,142.55,18.14,18.4,0.7,0.2,0.2
32285,Steelhead,Nass River B.C.,154.9,Nov 17 2015,Gamma Spectroscopy/spectroscopie gamma,6,0.27,0.2,0.69,0,­,1.11,105.87,17.26,20.8,0.7,0.2,0.2
32286,Steelhead,Nass River B.C.,162.1,Nov 17 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.13,0,­,1.1,122.97,16.98,18.6,0.9,0.2,0.2
32287,Steelhead,Nass River B.C.,160,Nov 17 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.21,0,­,1.16,127.73,16.96,17.8,0.9,0.2,0.2
32280,Pink,Nass River B.C.,154.2,Nov 18 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.15,0,­,1.09,114.32,16.8,18.7,0.7,0.2,0.2
32288,Pink,Nass River B.C.,120.4,Nov 18 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.58,0,­,1.51,143.53,22.29,26.2,0,,0.2
32289,Pink,Nass River B.C.,153.2,Nov 18 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.19,0,­,1.23,111.64,18.8,23.7,0,,0.2
32290,Pink,Nass River B.C.,141.6,Nov 19 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.47,0,­,1.27,119.58,18.99,22.6,0,,0.2
32291,Pink,Nass River B.C.,103.3,Nov 19 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.95,0,­,1.81,135.31,27.32,36.7,0.5,0.2,0.2
32292,Pink,Nass River B.C.,130.3,Nov 19 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.39,0,­,1.31,120.79,22.14,28.9,0,,0.3
32293,Pink,Nass River B.C.,146.3,Nov 19 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.28,0,­,1.16,128.62,18.36,20.4,0.7,0.2,0.2
32294,Pink,Nass River B.C.,144.1,Nov 20 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.34,0,­,1.33,140.85,20.02,23,0.9,0.2,0.2
32295,Pink,Nass River B.C.,143.8,Nov 23 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.3,0,­,1.27,117.03,19.13,23.4,0,,0.2
32296,Pink,Nass River B.C.,162.2,Nov 23 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.1,0,­,1.15,109.86,17.67,21.7,0.5,0.2,0.2
32432,Sockeye,Johnston Strait B.C.,108.6,Nov 23 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.64,0,­,1.73,154.91,22.82,24.8,0.4,0.2,0.2
32433,Sockeye,Johnston Strait B.C.,111.7,Nov 24 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.53,0,­,1.66,148.9,22.22,24.4,0.4,0.2,0.2
32431,Sockeye,Johnston Strait B.C.,101.3,Nov 24 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.91,0,­,1.89,137.03,25.8,33.1,0.4,0.2,0.2
32434,Sockeye,Johnston Strait B.C.,108.4,Nov 24 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.72,0,­,1.59,153.77,23.62,27,0.4,0.2,0.2
32435,Sockeye,Johnston Strait B.C.,103.1,Nov 25 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.83,0,­,1.83,157.18,24.21,27.3,0.4,0.2,0.2
32436,Sockeye,Johnston Strait B.C.,135.5,Nov 25 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.26,0,­,1.38,123.13,19.54,23.1,0.4,0.2,0.2
32437,Sockeye,Johnston Strait B.C.,126.4,Nov 25 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.38,0,­,1.37,121.2,20.77,25.6,0.4,0.2,0.2
32438,Sockeye,Johnston Strait B.C.,100.6,Nov 26 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.8,0,­,1.84,146.97,25.37,31,0.4,0.2,0.2
32439,Sockeye,Johnston Strait B.C.,122.3,Nov 26 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.41,0,­,1.47,139.88,21.01,23.7,0.4,0.2,0.2
32440,Sockeye,Johnston Strait B.C.,121.5,Nov 26 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.46,0,­,1.55,134.07,21.53,25.5,0.4,0.2,0.2
32441,Pink,Johnston Strait B.C.,136.3,Nov 26 2015,Gamma Spectroscopy/spectroscopie gamma,6,0,­,1.37,0,­,1.36,148.39,22.63,27.8,0,,0.2
